               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06855,            0.026801,                   0,            0.094273,             0.17606,            0.052491,            0.012304,            0.020242,            0.014913,                   0,             0.00043,             0.00043,             0.09613
                   1,            0.047441,            0.024738,                   0,             0.85755,             0.77465,             0.85248,              0.4272,            0.012876,            0.011248,                   0,          0.00086981,          0.00086981,             0.09217
                   2,            0.034779,            0.019476,                   0,             0.93118,             0.96479,             0.98641,             0.57778,           0.0099072,           0.0077284,                   0,           0.0013088,           0.0013088,            0.088209
                   3,            0.028594,             0.01588,                   0,             0.49957,             0.90845,              0.5587,             0.25939,            0.017281,           0.0063876,                   0,           0.0017465,           0.0017465,            0.084247
                   4,            0.032063,            0.014629,                   0,             0.93659,             0.93622,             0.96814,             0.58914,           0.0097303,           0.0055338,                   0,           0.0021822,           0.0021822,            0.080282
                   5,             0.02695,            0.013879,                   0,             0.72331,              0.9573,             0.79016,             0.46341,            0.011336,           0.0047714,                   0,           0.0026154,           0.0026154,            0.076315
                   6,            0.024509,             0.01321,                   0,              0.5825,             0.94326,             0.66934,             0.47273,            0.012454,           0.0038795,                   0,           0.0030455,           0.0030455,            0.072346
                   7,            0.023168,            0.012166,                   0,             0.97236,             0.99296,             0.99423,             0.77556,           0.0062683,           0.0035261,                   0,            0.003472,            0.003472,            0.068372
                   8,            0.024153,            0.011525,                   0,             0.98611,             0.99996,              0.9935,             0.77872,           0.0066292,            0.003204,                   0,           0.0038942,           0.0038942,            0.064394
                   9,            0.019405,            0.011356,                   0,             0.98599,                   1,             0.99472,             0.78133,           0.0087114,           0.0029155,                   0,           0.0043116,           0.0043116,            0.060412
                  10,             0.02202,            0.010798,                   0,              0.9726,             0.99986,             0.99423,              0.7268,           0.0092124,           0.0028304,                   0,           0.0047236,           0.0047236,            0.056424
                  11,            0.022508,            0.010557,                   0,             0.99301,             0.99996,             0.99444,              0.7625,           0.0062217,           0.0026951,                   0,           0.0051298,           0.0051298,             0.05243
                  12,            0.022057,            0.010512,                   0,             0.99288,             0.99296,             0.99479,             0.84224,           0.0074585,           0.0024643,                   0,           0.0055296,           0.0055296,             0.04843
                  13,            0.022595,            0.010017,                   0,             0.99301,             0.99998,               0.995,             0.73334,           0.0081311,           0.0024125,                   0,           0.0059224,           0.0059224,            0.044422
                  14,            0.023999,            0.010333,                   0,             0.99286,             0.97884,             0.99366,             0.70135,            0.011691,           0.0027258,                   0,           0.0063078,           0.0063078,            0.040408
                  15,            0.019093,            0.010424,                   0,             0.97908,             0.99296,             0.99395,             0.73531,           0.0084564,           0.0031467,                   0,           0.0066852,           0.0066852,            0.036385
                  16,              0.0225,             0.01048,                   0,             0.99291,             0.98585,             0.99438,             0.74227,           0.0071523,           0.0027905,                   0,           0.0070542,           0.0070542,            0.032354
                  17,            0.022009,            0.010395,                   0,             0.99995,                   1,               0.995,             0.82414,           0.0050617,           0.0028715,                   0,           0.0074143,           0.0074143,            0.028314
                  18,            0.025023,            0.010241,                   0,             0.99301,             0.99974,             0.99472,             0.83049,           0.0064455,           0.0028852,                   0,           0.0077651,           0.0077651,            0.024265
                  19,            0.024086,            0.010422,                   0,             0.97915,             0.99296,             0.99327,             0.69911,           0.0084799,           0.0029376,                   0,            0.008106,            0.008106,            0.020206
                  20,            0.020504,            0.010107,                   0,             0.99998,                   1,               0.995,             0.80485,           0.0061074,           0.0025758,                   0,           0.0084368,           0.0084368,            0.016137
                  21,            0.021616,           0.0097606,                   0,             0.99997,             0.99296,               0.995,             0.80591,           0.0074305,           0.0023775,                   0,           0.0087569,           0.0087569,            0.012057
                  22,            0.019842,           0.0099023,                   0,                   1,             0.98592,             0.99486,             0.82641,           0.0049825,           0.0025087,                   0,           0.0089673,           0.0089673,           0.0089673
                  23,            0.018388,           0.0098699,                   0,             0.98611,             0.99995,             0.99465,             0.81704,           0.0047226,           0.0025458,                   0,           0.0089673,           0.0089673,           0.0089673
                  24,            0.017052,           0.0094725,                   0,             0.99998,                   1,               0.995,             0.84608,           0.0045259,           0.0023016,                   0,           0.0088755,           0.0088755,           0.0088755
                  25,            0.021991,           0.0099098,                   0,             0.99301,             0.99993,             0.99437,             0.83364,            0.004917,            0.002315,                   0,           0.0087804,           0.0087804,           0.0087804
                  26,            0.018753,           0.0094027,                   0,                   1,                   1,               0.995,             0.88819,           0.0039063,           0.0020707,                   0,            0.008682,            0.008682,            0.008682
                  27,            0.015686,           0.0089241,                   0,             0.99998,                   1,               0.995,             0.83108,           0.0054073,           0.0022021,                   0,           0.0085805,           0.0085805,           0.0085805
                  28,            0.017404,           0.0088959,                   0,             0.99999,                   1,               0.995,             0.89001,           0.0038622,           0.0020146,                   0,           0.0084759,           0.0084759,           0.0084759
                  29,            0.016607,           0.0090395,                   0,                   1,                   1,               0.995,             0.82368,           0.0065758,            0.002198,                   0,           0.0083684,           0.0083684,           0.0083684
                  30,            0.014303,           0.0086349,                   0,             0.99999,                   1,               0.995,             0.85458,           0.0044996,           0.0021257,                   0,           0.0082581,           0.0082581,           0.0082581
                  31,            0.017591,            0.008368,                   0,             0.99299,                   1,             0.99451,             0.86297,           0.0040046,           0.0021842,                   0,            0.008145,            0.008145,            0.008145
                  32,            0.016941,           0.0087084,                   0,             0.99295,                   1,               0.995,               0.844,           0.0044457,           0.0022615,                   0,           0.0080294,           0.0080294,           0.0080294
                  33,            0.017294,            0.008657,                   0,             0.99301,             0.99993,             0.99493,             0.84533,           0.0046886,           0.0023092,                   0,           0.0079112,           0.0079112,           0.0079112
                  34,            0.016562,           0.0083351,                   0,             0.99999,                   1,               0.995,              0.8331,            0.004267,           0.0022639,                   0,           0.0077907,           0.0077907,           0.0077907
                  35,              0.0159,            0.008626,                   0,                   1,                   1,               0.995,             0.81037,           0.0053029,           0.0022568,                   0,           0.0076679,           0.0076679,           0.0076679
